Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65.0,8450,Reg,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,No,GLQ,706,150,856,Ex,856,854,1710,1,2,1,3,Gd,8,0,Attchd,2003.0,RFn,2,548,0,61,2,2008,WD,Normal,208500
2,20,RL,80.0,9600,Reg,FR2,Veenker,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,Gd,ALQ,978,284,1262,Ex,1262,0,1262,0,2,0,3,TA,6,1,Attchd,1976.0,RFn,2,460,298,0,5,2007,WD,Normal,181500
3,60,RL,68.0,11250,IR1,Inside,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,Mn,GLQ,486,434,920,Ex,920,866,1786,1,2,1,3,Gd,6,1,Attchd,2001.0,RFn,2,608,0,42,9,2008,WD,Normal,223500
4,70,RL,60.0,9550,IR1,Corner,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,No,ALQ,216,540,756,Gd,961,756,1717,1,1,0,3,Gd,7,1,Detchd,1998.0,Unf,3,642,0,35,2,2006,WD,Abnorml,140000
5,60,RL,84.0,14260,IR1,FR2,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,Av,GLQ,655,490,1145,Ex,1145,1053,2198,1,2,1,4,Gd,9,1,Attchd,2000.0,RFn,3,836,192,84,12,2008,WD,Normal,250000
6,50,RL,85.0,14115,IR1,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,No,GLQ,732,64,796,Ex,796,566,1362,1,1,1,1,TA,5,0,Attchd,1993.0,Unf,2,480,40,30,10,2009,WD,Normal,143000
7,20,RL,75.0,10084,Reg,Inside,Somerst,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,Av,GLQ,1369,317,1686,Ex,1694,0,1694,1,2,0,3,Gd,7,1,Attchd,2004.0,RFn,2,636,255,57,8,2007,WD,Normal,307000
9,50,RM,51.0,6120,Reg,Inside,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,952,952,Gd,1022,752,1774,0,2,0,2,TA,8,2,Detchd,1931.0,Unf,2,468,90,0,4,2008,WD,Abnorml,129900
10,190,RL,50.0,7420,Reg,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,GLQ,851,140,991,Ex,1077,0,1077,1,1,0,2,TA,5,2,Attchd,1939.0,RFn,1,205,0,4,1,2008,WD,Normal,118000
11,20,RL,70.0,11200,Reg,Inside,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,Rec,906,134,1040,Ex,1040,0,1040,1,1,0,3,TA,5,0,Detchd,1965.0,Unf,1,384,0,0,2,2008,WD,Normal,129500
